0s, type:h264, width:3840, height:2160, fps:1, keyFrameInterval:14, datasize:103265byte, cpu:3.91%, memory:139mb, bitrates:3000000
1s, type:h264, width:3840, height:2160, fps:12, keyFrameInterval:14, datasize:28334byte, cpu:24.3%, memory:132mb, bitrates:3000000
2s, type:h264, width:3840, height:2160, fps:13, keyFrameInterval:14, datasize:142793byte, cpu:22.4%, memory:139mb, bitrates:3000000
3s, type:h264, width:3840, height:2160, fps:14, keyFrameInterval:14, datasize:336103byte, cpu:23.6%, memory:130mb, bitrates:3000000
4s, type:h264, width:3840, height:2160, fps:9, keyFrameInterval:14, datasize:398085byte, cpu:18.9%, memory:136mb, bitrates:3000000
5s, type:h264, width:3840, height:2160, fps:9, keyFrameInterval:14, datasize:340067byte, cpu:17.8%, memory:141mb, bitrates:3000000
6s, type:h264, width:3840, height:2160, fps:12, keyFrameInterval:14, datasize:190724byte, cpu:20.6%, memory:139mb, bitrates:3000000
7s, type:h264, width:3840, height:2160, fps:2, keyFrameInterval:14, datasize:366153byte, cpu:22.9%, memory:151mb, bitrates:3000000
8s, type:h264, width:3840, height:2160, fps:20, keyFrameInterval:14, datasize:634878byte, cpu:18.8%, memory:137mb, bitrates:3000000
9s, type:h264, width:3840, height:2160, fps:8, keyFrameInterval:14, datasize:386014byte, cpu:20.4%, memory:130mb, bitrates:3000000
10s, type:h264, width:3840, height:2160, fps:12, keyFrameInterval:14, datasize:130137byte, cpu:20%, memory:150mb, bitrates:3000000
11s, type:h264, width:3840, height:2160, fps:11, keyFrameInterval:14, datasize:475923byte, cpu:20.5%, memory:150mb, bitrates:3000000
12s, type:h264, width:3840, height:2160, fps:11, keyFrameInterval:14, datasize:447203byte, cpu:20.9%, memory:139mb, bitrates:3000000
13s, type:h264, width:3840, height:2160, fps:8, keyFrameInterval:14, datasize:430159byte, cpu:19.8%, memory:130mb, bitrates:3000000
14s, type:h264, width:3840, height:2160, fps:12, keyFrameInterval:14, datasize:102020byte, cpu:19.3%, memory:150mb, bitrates:3000000
15s, type:h264, width:3840, height:2160, fps:12, keyFrameInterval:14, datasize:400820byte, cpu:21.1%, memory:159mb, bitrates:3000000
16s, type:h264, width:3840, height:2160, fps:10, keyFrameInterval:14, datasize:423189byte, cpu:19.1%, memory:159mb, bitrates:3000000
17s, type:h264, width:3840, height:2160, fps:8, keyFrameInterval:14, datasize:426542byte, cpu:20.4%, memory:130mb, bitrates:3000000
18s, type:h264, width:3840, height:2160, fps:12, keyFrameInterval:14, datasize:124948byte, cpu:18.7%, memory:142mb, bitrates:3000000
19s, type:h264, width:3840, height:2160, fps:12, keyFrameInterval:14, datasize:400450byte, cpu:22.3%, memory:148mb, bitrates:3000000
20s, type:h264, width:3840, height:2160, fps:10, keyFrameInterval:14, datasize:416680byte, cpu:21.1%, memory:139mb, bitrates:3000000
21s, type:h264, width:3840, height:2160, fps:8, keyFrameInterval:14, datasize:403210byte, cpu:20.4%, memory:140mb, bitrates:3000000
22s, type:h264, width:3840, height:2160, fps:13, keyFrameInterval:14, datasize:435908byte, cpu:18.9%, memory:160mb, bitrates:3000000
23s, type:h264, width:3840, height:2160, fps:10, keyFrameInterval:14, datasize:69667byte, cpu:20.3%, memory:140mb, bitrates:3000000
24s, type:h264, width:3840, height:2160, fps:11, keyFrameInterval:14, datasize:431536byte, cpu:20.6%, memory:133mb, bitrates:3000000
25s, type:h264, width:3840, height:2160, fps:8, keyFrameInterval:14, datasize:384990byte, cpu:20.1%, memory:140mb, bitrates:3000000
26s, type:h264, width:3840, height:2160, fps:13, keyFrameInterval:14, datasize:439966byte, cpu:22.5%, memory:151mb, bitrates:3000000
27s, type:h264, width:3840, height:2160, fps:10, keyFrameInterval:14, datasize:64322byte, cpu:20.4%, memory:150mb, bitrates:3000000
28s, type:h264, width:3840, height:2160, fps:5, keyFrameInterval:14, datasize:378012byte, cpu:20.5%, memory:142mb, bitrates:3000000
29s, type:h264, width:3840, height:2160, fps:14, keyFrameInterval:14, datasize:447152byte, cpu:19.9%, memory:131mb, bitrates:3000000
30s, type:h264, width:3840, height:2160, fps:12, keyFrameInterval:14, datasize:120995byte, cpu:19.4%, memory:143mb, bitrates:3000000
31s, type:h264, width:3840, height:2160, fps:12, keyFrameInterval:14, datasize:438194byte, cpu:20.5%, memory:146mb, bitrates:3000000
32s, type:h264, width:3840, height:2160, fps:5, keyFrameInterval:14, datasize:343426byte, cpu:22.1%, memory:142mb, bitrates:3000000
33s, type:h264, width:3840, height:2160, fps:13, keyFrameInterval:14, datasize:438500byte, cpu:19.2%, memory:140mb, bitrates:3000000
34s, type:h264, width:3840, height:2160, fps:14, keyFrameInterval:14, datasize:440471byte, cpu:19.2%, memory:142mb, bitrates:3000000
35s, type:h264, width:3840, height:2160, fps:9, keyFrameInterval:14, datasize:61921byte, cpu:19%, memory:151mb, bitrates:3000000
36s, type:h264, width:3840, height:2160, fps:12, keyFrameInterval:14, datasize:406613byte, cpu:19.5%, memory:137mb, bitrates:3000000
37s, type:h264, width:3840, height:2160, fps:7, keyFrameInterval:14, datasize:400409byte, cpu:20.3%, memory:131mb, bitrates:3000000
38s, type:h264, width:3840, height:2160, fps:11, keyFrameInterval:14, datasize:299545byte, cpu:21.7%, memory:139mb, bitrates:3000000
